tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
1132,2016-01-28 01:09:37,2016-01-28 01:28:30,432,E 7 St & Avenue A,40.72621788,-73.98379855,311,Norfolk St & Broome St,40.7172274,-73.98802084,18426,Subscriber,1942,male,""
1788,2016-04-20 16:05:16,2016-04-20 16:35:05,265,Stanton St & Chrystie St,40.72229346,-73.99147535,426,West St & Chambers St,40.71754834,-74.01322069,15148,Subscriber,1951,male,""
752,2016-03-22 12:00:15,2016-03-22 12:12:47,238,Bank St & Washington St,40.7361967,-74.00859207,357,E 11 St & Broadway,40.73261787,-73.99158043,20686,Subscriber,1938,male,""
415,2017-09-21 16:10:26,2017-09-21 16:17:22,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,3134,3 Ave & E 62 St,40.76312584,-73.96526895,16596,Subscriber,2000,male,""
473,2016-08-15 13:23:24,2016-08-15 13:31:18,470,W 20 St & 8 Ave,40.74345335,-74.00004031,402,Broadway & E 22 St,40.7403432,-73.98955109,23078,Subscriber,1950,male,""
311,2017-06-19 13:10:55,2017-06-19 13:16:06,3352,Sigourney St & Columbia St,40.672672434109479,-74.0087952464819,3398,Smith St & 9 St,40.6746957,-73.99785768,18721,Subscriber,1999,male,""
1738,2017-09-05 17:17:33,2017-09-05 17:46:31,3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,3423,West Drive & Prospect Park West,40.6610633719006,-73.979452550411224,30544,Subscriber,1941,male,""
535,2017-10-11 14:33:04,2017-10-11 14:41:59,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,18209,Subscriber,1997,male,""
346,2017-09-04 15:33:16,2017-09-04 15:39:02,3096,Union Ave & N 12 St,40.71924,-73.95242,3112,Milton St & Franklin St,40.72906,-73.95779,18363,Subscriber,2000,male,""
800,2017-12-11 09:27:42,2017-12-11 09:41:03,394,E 9 St & Avenue C,40.72521311,-73.97768752,382,University Pl & E 14 St,40.73492695,-73.99200509,32210,Subscriber,1997,male,""
177,2017-11-15 08:35:53,2017-11-15 08:38:50,328,Watts St & Greenwich St,40.72405549,-74.00965965,426,West St & Chambers St,40.71754834,-74.01322069,31204,Subscriber,1996,male,""
734,2017-10-28 14:55:23,2017-10-28 15:07:38,295,Pike St & E Broadway,40.71406667,-73.99293911,394,E 9 St & Avenue C,40.72521311,-73.97768752,27708,Subscriber,1997,male,""
155,2016-09-18 08:30:31,2016-09-18 08:33:07,346,Bank St & Hudson St,40.73652889,-74.00618026,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,16711,Subscriber,1945,male,""
2176,2014-07-09 07:16:35,2014-07-09 07:52:51,2000,Front St & Washington St,40.70255088,-73.98940236,521,8 Ave & W 31 St,40.75044999,-73.99481051,19658,Subscriber,1949,female,""
706,2017-06-08 18:32:28,2017-06-08 18:44:14,448,W 37 St & 10 Ave,40.75660359,-73.9979009,468,Broadway & W 56 St,40.7652654,-73.98192338,14579,Subscriber,1947,male,""
1101,2017-10-17 19:06:47,2017-10-17 19:25:09,476,E 31 St & 3 Ave,40.74394314,-73.97966069,523,W 38 St & 8 Ave,40.75466591,-73.99138152,16056,Subscriber,1996,male,""
323,2018-05-29 07:21:52.293,2018-05-29 07:27:15.844,305,E 58 St & 3 Ave,40.76095756,-73.96724467,3136,5 Ave & E 63 St,40.766368,-73.971518,33258,Subscriber,1948,male,""
1561,2017-08-17 16:05:46,2017-08-17 16:31:47,3408,Congress St & Clinton St,40.6881529,-73.99520919,3408,Congress St & Clinton St,40.6881529,-73.99520919,29135,Subscriber,1943,male,""
95,2015-10-10 15:14:51,2015-10-10 15:16:26,127,Barrow St & Hudson St,40.73172428,-74.00674436,127,Barrow St & Hudson St,40.73172428,-74.00674436,23184,Subscriber,1996,male,""
600,2014-03-06 17:53:20,2014-03-06 18:03:20,335,Washington Pl & Broadway,40.72903917,-73.99404649,402,Broadway & E 22 St,40.7403432,-73.98955109,19681,Subscriber,1950,male,""
485,2013-11-22 19:32:17,2013-11-22 19:40:22,446,W 24 St & 7 Ave,40.74487634,-73.99529885,254,W 11 St & 6 Ave,40.73532427,-73.99800419,16435,Subscriber,1948,male,""
367,2017-05-23 16:07:11,2017-05-23 16:13:18,3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,3168,Central Park West & W 85 St,40.78472675,-73.96961715,29173,Subscriber,2000,male,""
825,2016-07-22 11:37:01,2016-07-22 11:50:47,164,E 47 St & 2 Ave,40.75323098,-73.97032517,488,W 39 St & 9 Ave,40.75645824,-73.99372222,25882,Subscriber,1935,male,""
1371,2017-08-28 14:32:57,2017-08-28 14:55:48,518,E 39 St & 2 Ave,40.74780373,-73.9734419,523,W 38 St & 8 Ave,40.75466591,-73.99138152,30485,Subscriber,1949,male,""
